easting;northing;lat;long;elev;time;name
596576.755385485;6739757.63891275;60.7815239858;-139.2263989896;2134.388672;2016-05-04T23:27:06Z;46
596604.363320656;6739703.66955158;60.7810329739;-139.2259190418;2125.05127;2016-05-04T23:30:03Z;47
596630.145269042;6739650.88392722;60.7805530261;-139.2254720349;2129.449219;2016-05-04T23:33:25Z;48
596714.790333881;6739698.19403185;60.7809570339;-139.2238949798;2116.010986;2016-05-04T23:52:40Z;49
596736.418952929;6739762.62993065;60.7815300208;-139.223465994;2107.319092;2016-05-04T23:54:56Z;50
596762.838429955;6739815.04394448;60.7819939591;-139.2229550332;2104.092041;2016-05-04T23:57:10Z;51
596787.235755204;6739869.75717904;60.7824790198;-139.2224800307;2101.353027;2016-05-04T23:59:28Z;52
596808.663768615;6739925.49232613;60.7829739712;-139.2220590077;2102.029297;2016-05-05T00:01:57Z;53
596830.460443705;6739981.58321307;60.7834720239;-139.2216310278;2098.080322;2016-05-05T00:04:20Z;54
596850.356526259;6740035.49314831;60.7839509659;-139.2212390061;2093.813721;2016-05-05T00:06:28Z;55
596864.007613941;6740080.55673773;60.7843520399;-139.2209660076;2101.87207;2016-05-05T00:08:50Z;56
596772.588483507;6740058.68910227;60.7841780316;-139.2226549611;2110.829102;2016-05-05T00:13:32Z;57
596715.651879251;6740040.76459827;60.784031013;-139.2237089854;2120.016846;2016-05-05T00:17:22Z;58
596658.324020142;6740029.18185969;60.7839409914;-139.224767033;2126.291504;2016-05-05T00:19:52Z;59
596599.221710379;6740010.76166865;60.7837900333;-139.225861039;2134.125488;2016-05-05T00:22:51Z;60
596539.678920093;6740000.68081751;60.7837140094;-139.2269589845;2140.944336;2016-05-05T00:25:49Z;61
596482.664413681;6739983.54257887;60.7835740317;-139.2280140147;2148.305908;2016-05-05T00:28:55Z;62
596423.441864341;6739973.58442105;60.7834990136;-139.229106009;2155.106201;2016-05-05T00:31:26Z;63
596366.096656098;6739956.65397909;60.7833609637;-139.2301669903;2162.342041;2016-05-05T00:33:48Z;64
596307.421526744;6739944.48954281;60.7832659967;-139.231250016;2166.05957;2016-05-05T00:36:14Z;65
596246.619730303;6739928.36456163;60.7831359934;-139.2323740292;2168.850342;2016-05-05T00:38:36Z;66
596193.396777398;6739912.10839408;60.7830029726;-139.2333589867;2177.69458;2016-05-05T00:41:13Z;67
596133.070959374;6739898.45468691;60.7828950137;-139.2344730254;2179.250488;2016-05-05T00:43:45Z;68
