X,Y,Donjek_asp,northness,profilecur,tangential,Sx_G2_d200,Sx_G13_d20,Donjek_slo,DonjekDEM_,Sx_G4_d200
595668.456076259,6740667.40292979,165.06857,-0.09331,-0.00053,0.00054,0.68000,-1.43000,5.54184,2290.00000,1.59000
595614.52448158,6740690.72911188,163.44293,-0.11479,0.00135,0.00050,0.00000,-2.26000,6.87816,2296.00000,1.19000
595557.377368027,6740714.27103651,137.29062,-0.10250,-0.00187,-0.00246,3.04000,0.00000,6.30978,2297.00000,3.04000
595529.73624835,6740726.51767554,135.00000,-0.08684,-0.00010,0.00176,0.34000,-1.81000,7.05413,2303.00000,2.56000
595308.080554848,6740566.16394481,120.96376,-0.05592,-0.00064,-0.00204,15.79000,-3.12000,6.23939,2311.00000,10.14000
595264.890961572,6740605.93314552,121.50426,-0.05900,0.00041,-0.00124,13.66000,-3.47000,6.48231,2318.00000,12.51000
595230.632851206,6740656.26658287,99.24611,-0.02167,-0.00321,-0.00024,14.38000,-2.86000,7.75280,2323.00000,15.13000
595199.346820429,6740707.31784974,99.16235,-0.06199,-0.00082,-0.00221,14.61000,-2.26000,11.10341,2331.00000,16.60000
595171.147078835,6740758.79932097,119.29137,-0.07111,0.00138,-0.00202,13.90000,-3.17000,8.35744,2334.00000,13.64000
595179.637120337,6740816.42591053,146.76828,-0.09010,0.00175,0.00444,9.29000,-4.49000,6.18350,2344.00000,5.15000
595195.808688743,6740873.95920018,123.69006,-0.05266,0.00041,0.00166,7.55000,-3.62000,6.42860,2345.00000,4.76000
595229.054180096,6740920.73077897,149.03624,-0.07140,0.00076,0.00108,2.53000,-0.84000,7.26894,2347.00000,3.20000
595273.736466418,6740962.49003505,121.75948,-0.06518,0.00104,0.00079,0.34000,0.91000,8.77512,2347.00000,1.99000
595319.589328338,6741003.16489627,138.69139,-0.09935,-0.00273,-0.00403,5.05000,5.00000,7.81709,2342.00000,5.05000
595361.119706762,6741042.01272303,200.22485,-0.05926,0.00022,0.00165,-2.02000,-0.45000,3.62065,2350.00000,-1.19000
595416.818248144,6741039.16151893,143.74615,-0.04680,0.00050,0.00221,-3.04000,-1.04000,3.32677,2348.00000,-3.97000
595476.40228898,6741027.25790693,99.16235,-0.04359,0.00277,0.00073,-2.02000,0.56000,5.60432,2346.00000,-1.28000
595534.86969793,6741014.35690921,184.89909,-0.10872,-0.00136,-0.00028,2.02000,4.07000,6.26462,2339.00000,3.84000
595616.572283396,6740939.89090971,160.30138,-0.24444,-0.00182,0.00074,-1.77000,4.16000,15.04862,2319.00000,-1.28000
595657.199903607,6740892.28046757,166.21840,-0.16327,-0.00134,-0.00047,-0.34000,6.32000,9.67781,2308.00000,-1.19000
595694.828270355,6740848.34097407,146.30994,-0.14762,-0.00027,-0.00402,2.02000,4.97000,10.21938,2298.00000,3.84000
595713.054271114,6740791.31453988,88.45184,-0.00932,-0.00108,-0.00304,5.05000,1.81000,6.59792,2292.00000,5.05000
595728.569121247,6740734.28291848,84.80557,0.01238,0.00222,0.00166,1.01000,0.45000,7.86096,2291.00000,1.92000
595740.535402114,6740676.13407124,152.35402,-0.06545,0.00021,0.00145,-0.25000,0.00000,4.23690,2288.00000,0.40000
595733.83249534,6740617.37747078,175.60129,-0.08098,-0.00185,-0.00125,0.00000,2.86000,4.65874,2283.00000,1.92000
595689.038960552,6740511.45632356,166.26373,-0.13917,0.00140,0.00187,0.51000,-0.45000,8.23722,2275.00000,0.00000
595649.067518479,6740466.49618916,144.78241,-0.10536,-0.00093,-0.00174,4.04000,0.69000,7.40996,2269.00000,3.84000
595538.96757928,6740446.04096203,138.17982,-0.05919,0.00121,-0.00267,6.05000,-2.08000,4.55526,2281.00000,5.54000
595479.906285292,6740449.11038112,75.06858,0.00000,-0.00073,0.00011,10.27000,0.00000,5.54184,2287.00000,7.90000
595429.768233008,6740478.70366518,76.32869,0.02793,-0.00044,-0.00059,14.85000,-1.39000,6.78608,2291.00000,9.45000
595380.296880191,6740512.7402826,101.72511,-0.03389,-0.00109,-0.00237,17.19000,-1.39000,9.60096,2296.00000,10.76000
595332.841419561,6740549.54923878,106.92751,-0.04326,0.00297,0.00046,16.26000,-3.65000,8.54535,2307.00000,8.27000
595346.307029234,6741985.07640384,219.50768,-0.17356,0.00020,-0.00021,-8.55000,12.91000,13.00008,2517.00000,-10.76000
596236.318054597,6740051.17913931,143.88066,-0.11137,-0.00140,-0.00290,3.04000,0.00000,8.14583,2194.00000,3.04000
596218.835163329,6739993.52071989,156.37062,-0.09941,-0.00193,0.00071,6.55000,-1.43000,6.22926,2187.00000,3.84000
596211.362776973,6739934.58233046,124.99202,-0.04362,0.00039,-0.00371,12.46000,1.43000,4.36270,2183.00000,8.05000
596207.433603909,6739874.01309969,97.81529,-0.02160,0.00122,-0.00104,20.59000,-4.07000,9.13883,2182.00000,14.76000
596228.11856215,6739819.42769786,58.76079,0.11285,-0.00211,-0.00206,26.06000,-4.51000,12.56858,2182.00000,22.93000
596255.996161548,6739765.84047934,51.44160,0.16569,-0.00469,0.00062,29.88000,-5.20000,15.41591,2180.00000,27.16000
596300.467999104,6739732.30133059,47.81556,0.17499,-0.00348,-0.00109,31.01000,-6.76000,15.10478,2178.00000,30.22000
596356.584487611,6739708.24933859,30.06858,0.24790,-0.00690,-0.00118,34.24000,-8.53000,22.37436,2179.00000,31.75000
596413.988419362,6739694.31032225,38.88449,0.18801,-0.00364,-0.00119,30.01000,-6.42000,13.97712,2167.00000,27.79000
596475.14686623,6739689.78117737,43.80651,0.10759,-0.00223,-0.00012,30.01000,-5.71000,11.97925,2162.00000,24.92000
596531.847819703,6739698.76872713,57.20047,0.08938,0.00034,0.00109,27.94000,-5.42000,9.49746,2152.00000,20.18000
